CountryCode,Irreligion
CHE,57
USA,36
SWE,88
DNK,83
FIN,69
DEU,62
KOR,52
CAN,61
NLD,65
GBR,76
NOR,78
AUS,67
FRA,74
AUT,51
BEL,68
NZL,67
MEX,44
IRL,53
ITA,30
CHL,27
ESP,55
EST,78
SVN,51
PRT,33
POL,24
SVK,45
JPN,71
GRC,24
CZE,72
HUN,63
ISL,60
LUX,64
TUR,13
